``roi``	`~dict`	A dictionary containing information about the ROI as a whole.
``sources``	`~dict`	A dictionary containing information about individual sources in the model (diffuse and point-like).  Each element of this dictionary maps to a single source in the ROI model.
``config``	`~dict`	The configuration dictionary of the :py:class:`~fermipy.gtanalysis.GTAnalysis` instance.
``version``	`~str`	The version of the Fermipy package that was used to run the analysis.  This is automatically generated from the git release tag.
